# Direction   0.00     degrees                                                 
# (1): Wavelength in Angstrom                                                  
# (2): Cirrus emssion                                                          
# (3): Starlight extincted by MCs only                                         
# (4): Starlight extincted                                                     
# (5): MCs emission                                                            
# (6): Total                                                                   
# (7): Starlight unextincted                                                   
# (8): Subcomponent unextincted                                                
# (9): Subcomponent extincted                                                  
# Notes:                                                                       
# 1. luminosities in 1e30 erg/s/A                                              
# 2. subcomponent in cols. 8,9 is bulge for composite models                   
# otherwise = cols. 7,4 resp.                                                  
#    1          2          3          4          5          6          7       
  5094.      0.000     0.6176E+11 0.3528E+11  0.000     0.3528E+11 0.3798E+12 0.3798E+12 0.3528E+11
  5571.      0.000     0.6333E+11 0.3683E+11  0.000     0.3683E+11 0.3127E+12 0.3127E+12 0.3683E+11
  6094.      0.000     0.6042E+11 0.3580E+11  0.000     0.3580E+11 0.2554E+12 0.2554E+12 0.3580E+11
  6666.      0.000     0.5461E+11 0.3299E+11  0.000     0.3299E+11 0.2062E+12 0.2062E+12 0.3299E+11
  7291.      0.000     0.4965E+11 0.3056E+11  0.000     0.3056E+11 0.1774E+12 0.1774E+12 0.3056E+11
  7975.      0.000     0.4673E+11 0.2930E+11  0.000     0.2930E+11 0.1633E+12 0.1633E+12 0.2930E+11
  8724.      0.000     0.4340E+11 0.2780E+11  0.000     0.2780E+11 0.1569E+12 0.1569E+12 0.2780E+11
  9542.      0.000     0.4242E+11 0.2773E+11  0.000     0.2773E+11 0.1570E+12 0.1570E+12 0.2773E+11
 0.1044E+05  0.000     0.3922E+11 0.2615E+11  0.000     0.2615E+11 0.1461E+12 0.1461E+12 0.2615E+11
 0.1142E+05  0.000     0.3350E+11 0.2280E+11  0.000     0.2280E+11 0.1217E+12 0.1217E+12 0.2280E+11
 0.1249E+05  0.000     0.2891E+11 0.2009E+11 0.5614E-04 0.2009E+11 0.1030E+12 0.1030E+12 0.2009E+11
 0.1366E+05  0.000     0.2454E+11 0.1741E+11 0.4518E-02 0.1741E+11 0.8794E+11 0.8794E+11 0.1741E+11
 0.1494E+05  0.000     0.2159E+11 0.1562E+11 0.3636     0.1562E+11 0.7832E+11 0.7832E+11 0.1562E+11
 0.1634E+05  0.000     0.1976E+11 0.1460E+11  19.33     0.1460E+11 0.6966E+11 0.6966E+11 0.1460E+11
 0.1788E+05  0.000     0.1584E+11 0.1195E+11  267.7     0.1195E+11 0.5876E+11 0.5876E+11 0.1195E+11
 0.1955E+05  0.000     0.1165E+11 0.8985E+10  3707.     0.8985E+10 0.4503E+11 0.4503E+11 0.8985E+10
 0.2139E+05  0.000     0.9186E+10 0.7233E+10 0.5133E+05 0.7233E+10 0.3504E+11 0.3504E+11 0.7233E+10
 0.2339E+05  0.000     0.6148E+10 0.4939E+10 0.2929E+06 0.4939E+10 0.2258E+11 0.2258E+11 0.4939E+10
 0.2559E+05  0.000     0.3821E+10 0.3129E+10 0.1127E+07 0.3130E+10 0.1475E+11 0.1475E+11 0.3129E+10
 0.2799E+05  0.000     0.3144E+10 0.2621E+10 0.4329E+07 0.2625E+10 0.1268E+11 0.1268E+11 0.2621E+10
 0.3061E+05 0.2243E+07 0.2465E+10 0.2090E+10 0.1071E+09 0.2200E+10 0.9944E+10 0.9944E+10 0.2090E+10
 0.3220E+05 0.1433E+08 0.2185E+10 0.1868E+10 0.3511E+09 0.2233E+10 0.8523E+10 0.8523E+10 0.1868E+10
 0.3230E+05 0.1821E+08 0.2167E+10 0.1854E+10 0.4218E+09 0.2294E+10 0.8434E+10 0.8434E+10 0.1854E+10
 0.3240E+05 0.2393E+08 0.2150E+10 0.1840E+10 0.5253E+09 0.2389E+10 0.8344E+10 0.8344E+10 0.1840E+10
 0.3250E+05 0.3280E+08 0.2132E+10 0.1826E+10 0.6844E+09 0.2543E+10 0.8255E+10 0.8255E+10 0.1826E+10
 0.3260E+05 0.4734E+08 0.2114E+10 0.1812E+10 0.9441E+09 0.2803E+10 0.8166E+10 0.8166E+10 0.1812E+10
 0.3270E+05 0.7261E+08 0.2097E+10 0.1798E+10 0.1394E+10 0.3264E+10 0.8076E+10 0.8076E+10 0.1798E+10
 0.3279E+05 0.1121E+09 0.2081E+10 0.1785E+10 0.2096E+10 0.3993E+10 0.7996E+10 0.7996E+10 0.1785E+10
 0.3280E+05 0.1178E+09 0.2081E+10 0.1786E+10 0.2198E+10 0.4100E+10 0.7996E+10 0.7996E+10 0.1786E+10
 0.3290E+05 0.1885E+09 0.2064E+10 0.1772E+10 0.3453E+10 0.5413E+10 0.7915E+10 0.7915E+10 0.1772E+10
 0.3300E+05 0.2355E+09 0.2048E+10 0.1759E+10 0.4290E+10 0.6285E+10 0.7834E+10 0.7834E+10 0.1759E+10
 0.3310E+05 0.1887E+09 0.2034E+10 0.1748E+10 0.3463E+10 0.5399E+10 0.7763E+10 0.7763E+10 0.1748E+10
 0.3320E+05 0.1186E+09 0.2019E+10 0.1736E+10 0.2223E+10 0.4077E+10 0.7692E+10 0.7692E+10 0.1736E+10
 0.3321E+05 0.1129E+09 0.2019E+10 0.1736E+10 0.2122E+10 0.3970E+10 0.7692E+10 0.7692E+10 0.1736E+10
 0.3330E+05 0.7357E+08 0.2008E+10 0.1728E+10 0.1428E+10 0.3228E+10 0.7642E+10 0.7642E+10 0.1728E+10
 0.3340E+05 0.4832E+08 0.1997E+10 0.1718E+10 0.9835E+09 0.2749E+10 0.7586E+10 0.7586E+10 0.1718E+10
 0.3349E+05 0.3488E+08 0.1986E+10 0.1710E+10 0.7481E+09 0.2492E+10 0.7536E+10 0.7536E+10 0.1710E+10
 0.3350E+05 0.3373E+08 0.1984E+10 0.1709E+10 0.7282E+09 0.2470E+10 0.7529E+10 0.7529E+10 0.1709E+10
 0.3360E+05 0.2480E+08 0.1969E+10 0.1696E+10 0.5744E+09 0.2295E+10 0.7462E+10 0.7462E+10 0.1696E+10
 0.3370E+05 0.1902E+08 0.1954E+10 0.1684E+10 0.4764E+09 0.2178E+10 0.7395E+10 0.7395E+10 0.1684E+10
 0.3380E+05 0.1509E+08 0.1939E+10 0.1671E+10 0.4113E+09 0.2097E+10 0.7328E+10 0.7328E+10 0.1671E+10
 0.3663E+05 0.2051E+07 0.1506E+10 0.1316E+10 0.3101E+09 0.1627E+10 0.5429E+10 0.5429E+10 0.1316E+10
 0.4006E+05 0.1962E+07 0.1157E+10 0.1024E+10 0.5704E+09 0.1597E+10 0.4004E+10 0.4004E+10 0.1024E+10
 0.4382E+05 0.2598E+07 0.8067E+09 0.7226E+09 0.1145E+10 0.1870E+10 0.2563E+10 0.2563E+10 0.7226E+09
 0.4793E+05 0.3918E+07 0.6141E+09 0.5561E+09 0.2399E+10 0.2959E+10 0.1801E+10 0.1801E+10 0.5561E+09
 0.5243E+05 0.6962E+07 0.5013E+09 0.4581E+09 0.3361E+10 0.3825E+10 0.1385E+10 0.1385E+10 0.4581E+09
 0.5735E+05 0.1962E+08 0.4115E+09 0.3791E+09 0.5385E+10 0.5783E+10 0.1082E+10 0.1082E+10 0.3791E+09
 0.5800E+05 0.2453E+08 0.4014E+09 0.3700E+09 0.5963E+10 0.6357E+10 0.1049E+10 0.1049E+10 0.3700E+09
 0.5850E+05 0.2998E+08 0.3936E+09 0.3631E+09 0.6557E+10 0.6950E+10 0.1024E+10 0.1024E+10 0.3631E+09
